Month,Beginning cash,Illustrative funding proceeds,Owner contribution,Customer deposits,Customer final collections,Total inflows,Direct project costs,Founder payroll,Legal services,Minor overhead,Software/domains/storage/communications,Insurance,Bookkeeping/accounting,Marketing/outreach,General operations,Equipment/startup setup,Estimated loan payment,Total outflows,Net cash movement,Ending cash
2026-09,0,50000,0,0.0,0.0,50000.0,0.0,0,4950,50,250,250,150,500,150,5000,0,11300.0,38700.0,38700.0
2026-10,38700.0,0,0,0.0,0.0,0.0,0.0,0,0,0,250,250,150,500,150,0,0,1300.0,-1300.0,37400.0
2026-11,37400.0,0,0,0.0,0.0,0.0,0.0,0,0,0,250,250,150,500,150,0,0,1300.0,-1300.0,36100.0
2026-12,36100.0,0,0,1250.0,0.0,1250.0,375.0,0,4950,50,250,250,150,500,150,0,856.1218217449316,7531.121821744931,-6281.121821744931,29818.87817825507
2027-01,29818.87817825507,0,0,1250.0,1250.0,2500.0,750.0,0,0,0,250,250,150,500,150,0,856.1218217449316,2906.1218217449314,-406.12182174493137,29412.756356510137
2027-02,29412.756356510137,0,0,1250.0,1250.0,2500.0,750.0,0,0,0,250,250,150,500,150,0,856.1218217449316,2906.1218217449314,-406.12182174493137,29006.634534765206
2027-03,29006.634534765206,0,0,2500.0,1250.0,3750.0,1125.0,0,4950,50,250,250,150,500,150,0,856.1218217449316,8281.121821744931,-4531.121821744931,24475.512713020275
2027-04,24475.512713020275,0,0,2500.0,2500.0,5000.0,1500.0,0,0,0,250,250,150,500,150,0,856.1218217449316,3656.1218217449314,1343.8781782550686,25819.390891275343
2027-05,25819.390891275343,0,0,2500.0,2500.0,5000.0,1500.0,0,0,0,250,250,150,500,150,0,856.1218217449316,3656.1218217449314,1343.8781782550686,27163.26906953041
2027-06,27163.26906953041,0,0,2500.0,2500.0,5000.0,1500.0,0,4950,50,250,250,150,500,150,0,856.1218217449316,8656.121821744931,-3656.1218217449314,23507.14724778548
2027-07,23507.14724778548,0,0,2500.0,2500.0,5000.0,1500.0,0,0,0,250,250,150,500,150,0,856.1218217449316,3656.1218217449314,1343.8781782550686,24851.02542604055
2027-08,24851.02542604055,0,0,2500.0,2500.0,5000.0,1500.0,0,0,0,250,250,150,500,150,0,856.1218217449316,3656.1218217449314,1343.8781782550686,26194.903604295618
2027-09,26194.903604295618,0,0,3750.0,2500.0,6250.0,1875.0,0,4950,50,250,250,150,500,150,0,856.1218217449316,9031.121821744931,-2781.1218217449314,23413.781782550686
2027-10,23413.781782550686,0,0,3750.0,3750.0,7500.0,2250.0,0,0,0,250,250,150,500,150,0,856.1218217449316,4406.121821744931,3093.8781782550686,26507.659960805755
2027-11,26507.659960805755,0,0,3750.0,3750.0,7500.0,2250.0,0,0,0,250,250,150,500,150,0,856.1218217449316,4406.121821744931,3093.8781782550686,29601.538139060824
2027-12,29601.538139060824,0,0,3750.0,3750.0,7500.0,2250.0,0,4950,50,250,250,150,500,150,0,856.1218217449316,9406.121821744931,-1906.1218217449314,27695.416317315892
2028-01,27695.416317315892,0,0,3750.0,3750.0,7500.0,2250.0,0,0,0,250,250,150,500,150,0,856.1218217449316,4406.121821744931,3093.8781782550686,30789.29449557096
2028-02,30789.29449557096,0,0,3750.0,3750.0,7500.0,2250.0,0,0,0,250,250,150,500,150,0,856.1218217449316,4406.121821744931,3093.8781782550686,33883.17267382603
2028-03,33883.17267382603,0,0,5000.0,3750.0,8750.0,2625.0,0,4950,50,250,250,150,500,150,0,856.1218217449316,9781.121821744931,-1031.1218217449314,32852.0508520811
2028-04,32852.0508520811,0,0,5000.0,5000.0,10000.0,3000.0,0,0,0,250,250,150,500,150,0,856.1218217449316,5156.121821744931,4843.878178255069,37695.92903033616
2028-05,37695.92903033616,0,0,5000.0,5000.0,10000.0,3000.0,0,0,0,250,250,150,500,150,0,856.1218217449316,5156.121821744931,4843.878178255069,42539.80720859123
2028-06,42539.80720859123,0,0,5000.0,5000.0,10000.0,3000.0,0,4950,50,250,250,150,500,150,0,856.1218217449316,10156.121821744931,-156.12182174493137,42383.68538684629
2028-07,42383.68538684629,0,0,5000.0,5000.0,10000.0,3000.0,0,0,0,250,250,150,500,150,0,856.1218217449316,5156.121821744931,4843.878178255069,47227.56356510136
2028-08,47227.56356510136,0,0,5000.0,5000.0,10000.0,3000.0,0,0,0,250,250,150,500,150,0,856.1218217449316,5156.121821744931,4843.878178255069,52071.44174335642
